,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
264,"frozenset({'Mint Sauce', 'Mango Chutney', 'Onion Chutney'})",frozenset({'Plain Papadum'}),0.022617004,0.268418303,0.021049489,0.930693069,3.467323429,0.014978671,10.55567878
254,"frozenset({'Mint Sauce', 'Pilau Rice', 'Mango Chutney'})",frozenset({'Plain Papadum'}),0.025752034,0.268418303,0.023214152,0.901449275,3.358374845,0.016301835,7.423402518
202,"frozenset({'Mint Sauce', 'Onion Chutney'})",frozenset({'Plain Papadum'}),0.035828917,0.268418303,0.031126372,0.86875,3.236552767,0.021509235,5.57395579
126,"frozenset({'Mint Sauce', 'Mango Chutney'})",frozenset({'Plain Papadum'}),0.053743375,0.268418303,0.046502948,0.865277778,3.223616905,0.032077243,5.430297135
174,"frozenset({'Mint Sauce', 'Red Sauce'})",frozenset({'Plain Papadum'}),0.026797044,0.268418303,0.023139509,0.863509749,3.217030064,0.015946692,5.359955701
167,"frozenset({'Mango Chutney', 'Onion Chutney'})",frozenset({'Plain Papadum'}),0.043666492,0.268418303,0.036799283,0.842735043,3.139633306,0.025078398,4.651905358
199,"frozenset({'Mint Sauce', 'Chicken Tikka Masala'})",frozenset({'Plain Papadum'}),0.024557737,0.268418303,0.02045234,0.832826748,3.102719672,0.013860594,4.376188699
246,"frozenset({'Pilau Rice', 'Onion Chutney'})",frozenset({'Plain Papadum'}),0.031424946,0.268418303,0.026125252,0.831353919,3.097232607,0.017690221,4.337970347
195,"frozenset({'Mint Sauce', 'Pilau Rice'})",frozenset({'Plain Papadum'}),0.046428305,0.268418303,0.038366799,0.826366559,3.078652057,0.025904592,4.213368665
161,"frozenset({'Mango Chutney', 'Chicken Tikka Masala'})",frozenset({'Plain Papadum'}),0.033962827,0.268418303,0.02754348,0.810989011,3.021362564,0.018427235,3.870577585
119,"frozenset({'Red Sauce', 'Mango Chutney'})",frozenset({'Plain Papadum'}),0.025154885,0.268418303,0.020377696,0.810089021,3.018009625,0.013625665,3.852234875
158,"frozenset({'Mango Chutney', 'Peshwari Naan'})",frozenset({'Plain Papadum'}),0.025528103,0.268418303,0.020377696,0.798245614,2.973886677,0.013525486,3.626100587
147,"frozenset({'Pilau Rice', 'Mango Chutney'})",frozenset({'Plain Papadum'}),0.073523923,0.268418303,0.058147346,0.790862944,2.946382331,0.03841218,3.498096951
207,"frozenset({'Mint Sauce', 'Onion Bhajee'})",frozenset({'Plain Papadum'}),0.027916698,0.268418303,0.022019855,0.788770053,2.938585208,0.014526503,3.463437403
188,"frozenset({'Mint Sauce', 'Plain Naan'})",frozenset({'Plain Papadum'}),0.031648877,0.268418303,0.024333806,0.768867925,2.864439262,0.015838668,3.165210609
164,"frozenset({'Plain Rice', 'Mango Chutney'})",frozenset({'Plain Papadum'}),0.030529223,0.268418303,0.023438083,0.767726161,2.860185591,0.015243481,3.149651729
39,frozenset({'Red Sauce'}),frozenset({'Plain Papadum'}),0.049637979,0.268418303,0.037844293,0.762406015,2.840365235,0.024520552,3.079125499
108,frozenset({'Onion Chutney'}),frozenset({'Plain Papadum'}),0.077032171,0.268418303,0.058296634,0.756782946,2.81941633,0.037619789,3.007937497
144,"frozenset({'Mango Chutney', 'Garlic Naan'})",frozenset({'Plain Papadum'}),0.034559976,0.268418303,0.026050608,0.753779698,2.808227644,0.016774078,2.971248473
53,frozenset({'Mint Sauce'}),frozenset({'Plain Papadum'}),0.109203553,0.268418303,0.080838994,0.74025974,2.75785866,0.051526761,2.816589535
192,"frozenset({'Mint Sauce', 'Garlic Naan'})",frozenset({'Plain Papadum'}),0.027468836,0.268418303,0.020303053,0.739130435,2.7536514,0.012929915,2.804396507
172,"frozenset({'Mango Chutney', 'Onion Bhajee'})",frozenset({'Plain Papadum'}),0.041128611,0.268418303,0.030305292,0.736842105,2.745126164,0.01926562,2.78001045
31,frozenset({'Mango Chutney'}),frozenset({'Plain Papadum'}),0.154437561,0.268418303,0.113010375,0.731754471,2.726172037,0.071556508,2.727283841
140,"frozenset({'Plain Naan', 'Mango Chutney'})",frozenset({'Plain Papadum'}),0.052250504,0.268418303,0.037620363,0.72,2.682380423,0.023595371,2.612791776
151,"frozenset({'Pilau Rice', 'Onion Chutney'})",frozenset({'Mango Chutney'}),0.031424946,0.154437561,0.021348063,0.679334917,4.398767463,0.016494871,2.636902126
263,"frozenset({'Mint Sauce', 'Plain Papadum', 'Onion Chutney'})",frozenset({'Mango Chutney'}),0.031126372,0.154437561,0.021049489,0.676258993,4.37885052,0.016242408,2.611848424
183,"frozenset({'Bombay Aloo', 'Chicken Tikka Masala'})",frozenset({'Pilau Rice'}),0.031126372,0.352392327,0.020153766,0.647482014,1.837389652,0.009185071,1.837091155
131,"frozenset({'Mint Sauce', 'Onion Chutney'})",frozenset({'Mango Chutney'}),0.035828917,0.154437561,0.022617004,0.63125,4.087412397,0.017083673,2.293050683
166,"frozenset({'Plain Papadum', 'Onion Chutney'})",frozenset({'Mango Chutney'}),0.058296634,0.154437561,0.036799283,0.631241997,4.08736058,0.027796094,2.293000921
212,"frozenset({'Plain Naan', 'Chicken Tikka Masala'})",frozenset({'Pilau Rice'}),0.064417407,0.352392327,0.040307532,0.625724218,1.775646547,0.017607332,1.730295424
239,"frozenset({'Plain Papadum', 'Chicken Tikka Masala'})",frozenset({'Pilau Rice'}),0.059864149,0.352392327,0.036873927,0.6159601,1.747938457,0.01577826,1.686303098
175,"frozenset({'Plain Papadum', 'Red Sauce'})",frozenset({'Mint Sauce'}),0.037844293,0.109203553,0.023139509,0.611439842,5.599083777,0.019006778,2.292557353
235,"frozenset({'Plain Papadum', 'Peshwari Naan'})",frozenset({'Pilau Rice'}),0.039561096,0.352392327,0.023960588,0.605660377,1.718710459,0.010019562,1.642258693
252,"frozenset({'Mint Sauce', 'Plain Papadum', 'Pilau Rice'})",frozenset({'Mango Chutney'}),0.038366799,0.154437561,0.023214152,0.605058366,3.917818717,0.017288878,2.140980758
185,"frozenset({'Plain Papadum', 'Bombay Aloo'})",frozenset({'Pilau Rice'}),0.041501829,0.352392327,0.024707024,0.595323741,1.689377708,0.010082098,1.600310517
268,"frozenset({'Mint Sauce', 'Onion Chutney'})","frozenset({'Plain Papadum', 'Mango Chutney'})",0.035828917,0.113010375,0.021049489,0.5875,5.198637715,0.017000449,2.150277878
80,frozenset({'Madras'}),frozenset({'Pilau Rice'}),0.058819139,0.352392327,0.033962827,0.577411168,1.63854637,0.013235414,1.532477017
125,"frozenset({'Mint Sauce', 'Plain Papadum'})",frozenset({'Mango Chutney'}),0.080838994,0.154437561,0.046502948,0.575253924,3.724831718,0.034018371,1.990748091
116,"frozenset({'Korma', 'Plain Naan'})",frozenset({'Pilau Rice'}),0.035231768,0.352392327,0.020153766,0.572033898,1.623287044,0.007738361,1.51322189
265,"frozenset({'Plain Papadum', 'Mango Chutney', 'Onion Chutney'})",frozenset({'Mint Sauce'}),0.036799283,0.109203553,0.021049489,0.572008114,5.23799911,0.017030876,2.081339566
